NAME,Height,Easting,Northing
Battfjellet Formation,545.707,513624.549,8665139.862
Battfjellet Formation,545.384,513665.237,8665168.544
Battfjellet Formation,563.026,513712.388,8665185.180
Battfjellet Formation,559.188,513759.539,8665201.817
Battfjellet Formation,544.874,513806.798,8665217.878
Battfjellet Formation,539.319,513856.791,8665218.751
Battfjellet Formation,533.087,513906.783,8665219.623
Battfjellet Formation,520.478,513955.477,8665216.610
Battfjellet Formation,534.169,513994.441,8665185.276
Battfjellet Formation,534.785,514033.405,8665153.942
Battfjellet Formation,544.028,514072.369,8665122.608
Battfjellet Formation,540.603,514111.333,8665091.274
Battfjellet Formation,545.418,514150.297,8665059.940
Battfjellet Formation,557.983,514189.261,8665028.606
Battfjellet Formation,555.369,514228.224,8664997.272
Battfjellet Formation,550.114,514272.570,8664977.012
Battfjellet Formation,551.791,514321.282,8664965.734
Battfjellet Formation,545.428,514369.993,8664954.456
Battfjellet Formation,521.098,514418.705,8664943.177
Battfjellet Formation,502.522,514467.416,8664931.899
Battfjellet Formation,504.363,514516.127,8664920.621
Battfjellet Formation,518.794,514564.839,8664909.342
Battfjellet Formation,517.901,514613.550,8664898.064
Battfjellet Formation,531.633,514662.262,8664886.785
Battfjellet Formation,526.582,514710.973,8664875.507
Battfjellet Formation,531.551,514759.684,8664864.229
Battfjellet Formation,530.318,514808.396,8664852.950
Battfjellet Formation,542.946,514853.325,8664832.689
Battfjellet Formation,566.774,514895.405,8664805.684
Battfjellet Formation,575.872,514937.485,8664778.679
Battfjellet Formation,585.617,514979.565,8664751.675
Battfjellet Formation,585.106,515021.645,8664724.670
Battfjellet Formation,566.804,515045.778,8664690.962
Battfjellet Formation,530.901,515030.797,8664643.259
Battfjellet Formation,806.171,530245.333,8668941.806
Battfjellet Formation,808.889,530257.221,8668987.188
Battfjellet Formation,820.091,530271.941,8669034.972
Battfjellet Formation,829.066,530286.662,8669082.756
Battfjellet Formation,829.598,530301.382,8669130.541
Battfjellet Formation,828.286,530316.102,8669178.325
Battfjellet Formation,827.795,530330.822,8669226.109
Battfjellet Formation,830.656,530336.971,8669275.107
Battfjellet Formation,829.575,530336.099,8669325.099
Battfjellet Formation,829.575,530338.260,8669315.842
Battfjellet Formation,830.220,530339.133,8669265.850
Battfjellet Formation,827.795,530330.184,8669217.244
Battfjellet Formation,822.654,530315.464,8669169.460
Battfjellet Formation,826.117,530300.744,8669121.676
Battfjellet Formation,829.066,530286.024,8669073.892
Battfjellet Formation,814.708,530271.303,8669026.108
Battfjellet Formation,808.889,530256.583,8668978.324
Battfjellet Formation,733.080,529697.461,8668086.174
Battfjellet Formation,735.984,529681.541,8668039.096
Battfjellet Formation,732.944,529664.857,8667991.962
Battfjellet Formation,729.202,529648.172,8667944.828
Battfjellet Formation,722.894,529631.488,8667897.693
Battfjellet Formation,723.180,529619.910,8667849.795
Battfjellet Formation,716.392,529622.064,8667799.841
Battfjellet Formation,706.084,529624.217,8667749.888
Battfjellet Formation,715.128,529621.038,8667777.192
Battfjellet Formation,721.957,529618.884,8667827.145
Battfjellet Formation,729.169,529621.810,8667876.346
Battfjellet Formation,726.094,529638.494,8667923.480
Battfjellet Formation,726.585,529655.178,8667970.614
Battfjellet Formation,729.189,529671.863,8668017.748
Battfjellet Formation,740.460,529688.547,8668064.883
Battfjellet Formation,816.600,529393.451,8667716.100
Battfjellet Formation,829.210,529394.408,8667765.147
Battfjellet Formation,850.476,529408.735,8667813.050
Battfjellet Formation,849.551,529423.061,8667860.954
Battfjellet Formation,842.165,529437.001,8667908.799
Battfjellet Formation,861.488,529411.570,8667949.788
Battfjellet Formation,842.165,529439.318,8667908.372
Battfjellet Formation,849.551,529425.003,8667860.466
Battfjellet Formation,838.687,529410.676,8667812.562
Battfjellet Formation,829.210,529396.350,8667764.659
Battfjellet Formation,755.253,529449.036,8668321.210
Battfjellet Formation,773.575,529470.417,8668366.090
Battfjellet Formation,788.392,529492.536,8668410.931
Battfjellet Formation,802.580,529511.679,8668456.646
Battfjellet Formation,805.862,529517.279,8668506.331
Battfjellet Formation,809.840,529522.880,8668556.016
Battfjellet Formation,809.054,529527.369,8668577.987
Battfjellet Formation,807.908,529521.769,8668528.301
Battfjellet Formation,804.720,529516.168,8668478.616
Battfjellet Formation,790.730,529504.517,8668430.700
Battfjellet Formation,774.875,529482.398,8668385.858
Battfjellet Formation,763.669,529460.279,8668341.016
Battfjellet Formation,808.127,529542.044,8668716.100
Battfjellet Formation,808.333,529546.464,8668765.233
Battfjellet Formation,824.005,529552.064,8668814.918
Battfjellet Formation,828.401,529557.665,8668864.603
Battfjellet Formation,832.649,529563.266,8668914.289
Battfjellet Formation,845.793,529571.559,8668963.578
Battfjellet Formation,846.124,529580.508,8669012.771
Battfjellet Formation,846.642,529589.456,8669061.963
Battfjellet Formation,853.687,529598.405,8669111.156
Battfjellet Formation,859.396,529619.439,8669155.142
Battfjellet Formation,863.713,529649.114,8669195.384
Battfjellet Formation,867.734,529678.054,8669231.260
Battfjellet Formation,863.713,529648.379,8669191.018
Battfjellet Formation,859.396,529618.705,8669150.776
Battfjellet Formation,856.346,529599.502,8669106.012
Battfjellet Formation,857.897,529590.553,8669056.819
Battfjellet Formation,845.495,529581.605,8669007.626
Battfjellet Formation,845.793,529572.656,8668958.433
Battfjellet Formation,832.160,529564.693,8668909.096
Battfjellet Formation,828.401,529559.092,8668859.410
Battfjellet Formation,821.981,529553.492,8668809.725
Battfjellet Formation,808.333,529547.891,8668760.040
Battfjellet Formation,816.379,530180.560,8668829.898
Battfjellet Formation,829.049,530143.312,8668796.685
Battfjellet Formation,833.821,530105.768,8668763.663
Battfjellet Formation,841.324,530068.224,8668730.641
Battfjellet Formation,835.100,530030.680,8668697.619
Battfjellet Formation,833.199,529993.136,8668664.597
Battfjellet Formation,835.691,529955.591,8668631.576
Battfjellet Formation,829.915,529918.047,8668598.554
Battfjellet Formation,818.413,529880.503,8668565.532
Battfjellet Formation,801.129,529853.639,8668525.285
Battfjellet Formation,786.144,529836.954,8668478.151
Battfjellet Formation,775.875,529820.270,8668431.017
Battfjellet Formation,753.191,529803.586,8668383.882
Battfjellet Formation,742.197,529787.525,8668344.503
Battfjellet Formation,760.868,529804.209,8668391.637
Battfjellet Formation,775.875,529820.893,8668438.771
Battfjellet Formation,786.144,529837.578,8668485.905
Battfjellet Formation,811.962,529854.262,8668533.039
Battfjellet Formation,828.629,529884.055,8668571.320
Battfjellet Formation,829.915,529921.599,8668604.342
Battfjellet Formation,835.691,529959.143,8668637.363
Battfjellet Formation,839.561,529996.688,8668670.385
Battfjellet Formation,835.100,530034.232,8668703.407
Battfjellet Formation,834.517,530071.776,8668736.429
Battfjellet Formation,833.821,530109.320,8668769.451
Battfjellet Formation,829.049,530146.864,8668802.472
Battfjellet Formation,437.205,512746.688,8665292.579
Battfjellet Formation,446.402,512713.266,8665325.502
Battfjellet Formation,465.375,512679.175,8665362.078
Battfjellet Formation,473.901,512645.083,8665398.653
Battfjellet Formation,475.097,512610.991,8665435.228
Battfjellet Formation,478.679,512576.899,8665471.803
Battfjellet Formation,486.616,512537.359,8665501.708
Battfjellet Formation,492.051,512494.714,8665527.812
Battfjellet Formation,485.301,512452.069,8665553.915
Battfjellet Formation,493.466,512409.423,8665580.018
Battfjellet Formation,494.867,512366.778,8665606.122
Battfjellet Formation,481.749,512324.133,8665632.225
Battfjellet Formation,486.308,512279.061,8665649.417
Battfjellet Formation,490.890,512229.068,8665648.544
Battfjellet Formation,489.646,512179.076,8665647.671
Battfjellet Formation,485.932,512129.083,8665646.799
Battfjellet Formation,483.052,512079.091,8665645.926
Battfjellet Formation,480.366,512029.099,8665645.054
